field_1,id,lat,lon,time,tags,url,challenges,username,country_code,mapid,name,year,hblock,streetuse
1,3639281,49.24979908,-123.1532372,7/2/2019 20:15,cardboard,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/02/134307-6eab779e-696a-4b52-89ab-6b5c2e38f654-1289e974-3128-36f9-8586-536146f543f3.jpg,Ocean Heroes,Sea-Otter,CA,AR,Arbutus-Ridge,2019,3900-4000 ARBUTUS ST,Arterial
1,3639281,49.24979908,-123.1532372,7/2/2019 20:15,cardboard,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/02/134307-6eab779e-696a-4b52-89ab-6b5c2e38f654-1289e974-3128-36f9-8586-536146f543f3.jpg,Ocean Heroes,Sea-Otter,CA,AR,Arbutus-Ridge,2019,3900-4000 ARBUTUS ST,Arterial
2,1800006,49.24564453,-123.1556198,8/27/2018 15:09,plastic+straw,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/08/27/0a74c670-27cf-39f5-9a88-8f5d96583c54-93233.jpg,,litterati-93233,CA,AR,Arbutus-Ridge,2018,,
3,1800005,49.24523671,-123.1567164,8/27/2018 15:06,slurpee+plastic+straw,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/08/27/b0df34f6-4d02-30ca-aafb-d673442c9b8d-93233.jpg,,litterati-93233,CA,AR,Arbutus-Ridge,2018,,
4,1800004,49.24597491,-123.1569359,8/27/2018 15:03,mcdonalds+lid+plastic,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/08/27/dcc49763-b034-3668-80a7-d63de81085f7-93233.jpg,,litterati-93233,CA,AR,Arbutus-Ridge,2018,,
5,1800003,49.24596573,-123.1570531,8/27/2018 15:03,straw,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2018/08/27/8f7897cb-9277-3c1d-a204-7f90c7e7b186-93233.jpg,,litterati-93233,CA,AR,Arbutus-Ridge,2018,,
6,3821505,49.27279456,-123.123523,7/28/2019 17:23,plastic+cup+straw,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/28/136379-f2b91472-0311-4406-b0b4-f58b7c8ea207-ef75af3a-f29f-3ad2-afd0-2d39c5cefe1c.jpg,,cpoli,CA,CBD,Downtown,2019,,
7,3807126,49.28255962,-123.112007,7/27/2019 0:21,,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/27/134283-91717591-2af9-4737-9ee9-4d6e2080a3bd-2aa8026c-ddf1-3293-b780-aaa06704fb43.jpg,Ocean Heroes,jessebullen ,CA,CBD,Downtown,2019,500 HOMER ST,Arterial
8,3787715,49.27312312,-123.1194829,7/24/2019 0:34,plastic+cup,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136379-a327b783-ce19-45a5-8881-f211e01be163-e63b7ffe-1bb7-38c4-92b2-a443af6e3603.jpg,,cpoli,CA,CBD,Downtown,2019,1000 MARINASIDE CRESCENT,Residential
9,3787714,49.27319608,-123.1193669,7/24/2019 0:34,plastic+spoon+plasticspoon+gelato+gelateria+baggiogelato+baggio+plasticpiece,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136362-45bf8f4e-2318-47e8-a201-bee5b82585ac-20ef8605-c9fb-38ae-8fbd-f6003b51c559.jpg,,kk44,CA,CBD,Downtown,2019,1000 MARINASIDE CRESCENT,Residential
10,3787713,49.27338936,-123.1189462,7/24/2019 0:33,,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136379-5d6436c8-609d-4621-9e94-44e9551da838-9715c483-ab34-3cef-a8eb-a0d722232e75.jpg,,cpoli,CA,CBD,Downtown,2019,1000 MARINASIDE CRESCENT,Residential
10,3787713,49.27338936,-123.1189462,7/24/2019 0:33,,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136379-5d6436c8-609d-4621-9e94-44e9551da838-9715c483-ab34-3cef-a8eb-a0d722232e75.jpg,,cpoli,CA,CBD,Downtown,2019,1000 MARINASIDE CRESCENT,Residential
11,3787709,49.27325935,-123.1187536,7/24/2019 0:32,plastic+spoon+plasticspoon+gelato+gelateria+baggiogelato+baggio+two,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136362-fa129937-a5ad-4e00-ba60-ef4b1c7147dd-1ac37e47-96a1-3439-af49-0d77da6bc4ab.jpg,,kk44,CA,CBD,Downtown,2019,,
12,3787707,49.27332552,-123.1187372,7/24/2019 0:32,plastic+spoon,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136379-5f37c33f-2229-408d-a46b-469f01a57285-a65f99c6-63de-3f53-bb1e-72d6dff99507.jpg,,cpoli,CA,CBD,Downtown,2019,1000 MARINASIDE CRESCENT,Residential
12,3787707,49.27332552,-123.1187372,7/24/2019 0:32,plastic+spoon,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136379-5f37c33f-2229-408d-a46b-469f01a57285-a65f99c6-63de-3f53-bb1e-72d6dff99507.jpg,,cpoli,CA,CBD,Downtown,2019,1000 MARINASIDE CRESCENT,Residential
13,3787697,49.27383673,-123.1183168,7/24/2019 0:28,plastic+spoon+plasticspoon+gelato+gelateria+baggio+baggiogelato,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136362-cc195ff6-ccf9-42d6-ad0d-727b493c09c8-bb0c25cb-135f-3e28-9633-fc80b1dc43b3.jpg,,kk44,CA,CBD,Downtown,2019,,
14,3787696,49.27352766,-123.1184376,7/24/2019 0:28,plastic+spoon,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136379-fc3667b1-345b-407c-9859-b857d8e6e38e-d054f3d0-5a2d-3d74-9915-8f70a1a58b4a.jpg,,cpoli,CA,CBD,Downtown,2019,1000 MARINASIDE CRESCENT,Residential
15,3787695,49.27358944,-123.1189461,7/24/2019 0:25,plastic+spoon+plasticspoon+baggio+baggiogelato+gelateria+gelato,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136362-8ec49040-fc18-4a94-849d-321709016e38-2cd81a70-ecb3-3e19-954a-1067bd1cea73.jpg,,kk44,CA,CBD,Downtown,2019,1000 MARINASIDE CRESCENT,Residential
15,3787695,49.27358944,-123.1189461,7/24/2019 0:25,plastic+spoon+plasticspoon+baggio+baggiogelato+gelateria+gelato,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136362-8ec49040-fc18-4a94-849d-321709016e38-2cd81a70-ecb3-3e19-954a-1067bd1cea73.jpg,,kk44,CA,CBD,Downtown,2019,1000 MARINASIDE CRESCENT,Residential
16,3787694,49.27346397,-123.1185673,7/24/2019 0:25,plastic+spoon,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136379-82d03a2a-2d75-4420-9217-dab7d01cd470-664e6807-9a82-3d3a-8252-1ee7f60eb001.jpg,,cpoli,CA,CBD,Downtown,2019,1000 MARINASIDE CRESCENT,Residential
17,3787693,49.27365815,-123.1188396,7/24/2019 0:24,plastic+plasticspoon+spoon+baggio+baggiogelato+gelateria,https://litterati-images-prod.s3-us-west-2.amazonaws.com/2019/07/24/136362-d0a96f07-176a-443e-8774-40bfbb38246f-bdb13bce-3697-39ee-bc4d-60c21ed8188f.jpg,,kk44,CA,CBD,Downtown,2019,,
