Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2019,9,1,0,10,DBL - Inspections,Property Use,PUI Noise Complaint Case,3##,CARRALL ST,Downtown
2019,9,1,0,12,DBL - Inspections,Property Use,PUI Noise Complaint Case,1##,ALEXANDER ST,Downtown
2019,9,1,0,26,DBL - Inspections,Property Use,PUI Noise Complaint Case,##,E 4TH AV,Mount Pleasant
2019,9,1,0,37,DBL - Inspections,Property Use,PUI Noise Complaint Case,24##,NANAIMO ST,Grandview-Woodland
2019,9,1,1,6,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,46##,W 4TH AV,West Point Grey
2019,9,1,2,25,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,2##,E 46TH AV,Sunset
2019,9,1,3,1,DBL - Inspections,Property Use,PUI Noise Complaint Case,6##,BOUNDARY ROAD,Hastings-Sunrise
2019,9,1,4,5,DBL - Inspections,Property Use,PUI Noise Complaint Case,22##,KINGSWAY,Kensington-Cedar Cottage
2019,9,1,8,16,DBL - Inspections,Property Use,PUI Noise Complaint Case,1##,W HASTINGS ST,Downtown
2019,9,1,8,16,ENG - Streets,Streets Operations,Sidewalk - Repair,16##,MANITOBA ST,Mount Pleasant
2019,9,1,8,17,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,2##,E 24TH AV,Riley Park
2019,9,1,9,4,DBL - Inspections,Property Use,PUI Noise Complaint Case,11##,E HASTINGS ST,Strathcona
2019,9,1,9,5,DBL - Inspections,Property Use,PUI Noise General Inquiry Case,31##,E 29TH AV,Renfrew-Collingwood
2019,9,1,9,12,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,E GEORGIA ST and NANAIMO ST,Hastings-Sunrise
2019,9,1,9,16,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,Intersection,BROUGHTON ST and NELSON ST,West End
2019,9,1,9,16,DBL - Inspections,Property Use,PUI Noise Complaint Case,6##,E 27TH AV,Riley Park
2019,9,1,9,18,DBL - Inspections,Property Use,PUI Noise Complaint Case,6##,E 27TH AV,Riley Park
2019,9,1,9,21,DBL - Inspections,Property Use,PUI General Inquiry Case,15##,GRANVILLE ST,Downtown
2019,9,1,9,25,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,68##,MAIN ST,Sunset
2019,9,1,9,35,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,##,E 32ND AV,Riley Park
2019,9,1,9,45,DBL - Inspections,Property Use,PUI Noise Complaint Case,10##,W CORDOVA ST,Downtown
2019,9,1,10,1,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,44##,ST. GEORGE ST,Riley Park
2019,9,1,10,10,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,38##,PUGET DRIVE,Arbutus-Ridge
2019,9,1,10,43,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,44##,W 13TH AV,West Point Grey
2019,9,1,10,58,DBL - Inspections,Property Use,PUI Noise Complaint Case,40##,W 40TH AV,Dunbar-Southlands
2019,9,1,10,58,ENG - Streets,Streets Operations,Street - Repair,1##,WALTER HARDWICK AV,Mount Pleasant
2019,9,1,11,7,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,13##,PARK DRIVE,Marpole
2019,9,1,11,7,ENG - Water & Sewer,Waterworks Operations,Water Hydrant Issue,41##,CYPRESS ST,Shaughnessy
2019,9,1,11,17,ENG - Streets,Streets Operations,Trees and Vegetation Encroachment - City Property,13##,W 12TH AV,Fairview
2019,9,1,11,18,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,35##,E 26TH AV,Renfrew-Collingwood
2019,9,1,11,26,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,30##,W 8TH AV,Kitsilano
2019,9,1,11,29,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,44##,SOPHIA ST,Riley Park
2019,9,1,11,32,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,44##,ST. GEORGE ST,Riley Park
2019,9,1,11,33,DBL - Licensing & Animal Services,Animal Services,Holding Stray Case,12##,E 11TH AV,Mount Pleasant
2019,9,1,11,46,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,49##,YEW ST,Arbutus-Ridge
2019,9,1,11,49,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,21##,W 33RD AV,Arbutus-Ridge
2019,9,1,11,51,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,27##,ARBUTUS ST,Kitsilano
2019,9,1,11,54,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,1##,W 37TH AV,Riley Park
2019,9,1,12,10,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,E 49TH AV and ELLIOTT ST,Victoria-Fraserview
2019,9,1,12,13,ENG - Waste Management & Resource Recovery,Transfer and Landfill Operations,Transfer Station & Recycling - General Inquiries,4##,W 12TH AV,Mount Pleasant
2019,9,1,12,15,ENG - Streets,Streets Operations,Street - Repair,4##,E KING EDWARD AV,Riley Park
2019,9,1,12,22,ENG - Streets,Streets Operations,Pothole - Repair,26##,LARCH ST,Kitsilano
2019,9,1,12,28,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,41##,W 4TH AV,West Point Grey
2019,9,1,12,30,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,46##,DUCHESS ST,Renfrew-Collingwood
2019,9,1,12,47,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,17##,MACDONALD ST,Kitsilano
2019,9,1,12,58,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,10##,E 8TH AV,Mount Pleasant
2019,9,1,13,4,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,15##,BARCLAY ST,West End
2019,9,1,13,17,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,25##,MACKENZIE ST,Kitsilano
2019,9,1,13,36,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,8##,W 22ND AV,South Cambie
2019,9,1,13,37,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,25##,MAIN ST,Mount Pleasant
2019,9,1,13,41,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,COLLINGWOOD ST and SW MARINE DRIVE,Dunbar-Southlands
2019,9,1,13,50,ENG - Waste Management & Resource Recovery,Sanitation Operations,Parks Litter Can or Cart Request,29##,E HASTINGS ST,Hastings-Sunrise
2019,9,1,13,52,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,Intersection,MONTCALM ST and W 64TH AV,Marpole
2019,9,1,13,56,ENG - Waste Management & Resource Recovery,Sanitation Operations,Dead Animal Pickup Case,11##,E GEORGIA ST,Strathcona
2019,9,1,13,58,DBL - Licensing & Animal Services,Animal Services,Lost Pets Case,24##,WALL ST,Hastings-Sunrise
