Corridor Name,StartStreetName,EndStreetName,Route No.,District,Inspector,Side of Street,Type of Street,Clean Corridor,Fiscal Year,Quarter of Inspection,Year/Month,Date of Inspection,Start Time,End Time,Sweeping Day(s),Sweeping Time(s),streetclean_cleanto5,1.1 Litter Count,2.1,2.1 Litter Count,2.2,2.3,2.4,2.5,avg_graffiti,3.2,3.3,4.1,4.2,perc_cleanaroundtrashbin,4.4,4.5,4.6,4.0 Pass?,5.1,5.2,5.3,5.4
25th Avenue,Clement,Fulton,1,1,CSA,West,Residential,No,2006-2007,Q3,2007-09-Mar,3/21/2007 0:00,3:45 PM,6:30 PM,Not Recorded,Not Recorded,1.55,N/A,2.23,N/A,100,1.05,No,Yes,0.2,9.8,21.2,50.00%,50.00%,50.00%,100.00%,100.00%,100.00%,No,83.3,100,100,100
Geary,3rd Avenue,8th Avenue,,1,CSA,North,Commercial,No,2006-2007,Q3,2007-09-Mar,3/21/2007 0:00,1:50 PM,3:45 PM,Not Recorded,Not Recorded,1.7,N/A,2.7,N/A,100,0.8,Yes,No,0.8,6.8,15.6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,14.3,90.5,42.9,71.4
Lombard,Laguna,Pierce,19,2,CSA,Not Recorded,Commercial,No,2006-2007,Q3,2007-09-Mar,3/23/2007 0:00,4:05 PM,5:00 PM,Not Recorded,Not Recorded,1.13,N/A,1.42,N/A,99.8,0.32,Yes,Yes,0,2.4,5.6,100.00%,100.00%,100.00%,33.30%,100.00%,100.00%,Yes,48.3,89.7,51.7,93.1
Octavia,Lombard,Vallejo,19,2,CSA,Not Recorded,Residential,No,2006-2007,Q3,2007-09-Mar,3/23/2007 0:00,3:10 PM,4:00 PM,Not Recorded,Not Recorded,1.18,N/A,1.53,N/A,100,0,No,No,0.2,0.8,0.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,43.8,93.8,100,100
Francisco,Grant,Jones,3,3,CSA,South,Residential,No,2006-2007,Q3,2007-09-Mar,,3:20 PM,4:05 PM,Not Recorded,Not Recorded,2.1,N/A,1.9,N/A,96.9,0.23,Yes,No,0.8,0.8,2.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.9,100,81.1,92.5
Grant,Jackson,Filbert,19,3,CSA,West,Commercial,No,2006-2007,Q3,2007-09-Mar,,Not Recorded,Not Recorded,Not Recorded,Not Recorded,2.01,N/A,2.17,N/A,90.6,0.1,No,No,0,3.17,6.5,50.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,,,,
41st Avenue,Noriega,Santiago,,4,CSA,Not Recorded,Residential,No,2006-2007,Q3,2007-09-Mar,3/21/2007 0:00,11:15 AM,12:15 PM,Not Recorded,Not Recorded,1.2,N/A,1.2,N/A,97,0,Yes,Yes,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,100,100,100
Noriega,19th Avenue,24th Avenue,7,4,CSA,Not Recorded,Commercial,No,2006-2007,Q3,2007-09-Mar,3/21/2007 0:00,1:00 PM,2:00 PM,Not Recorded,Not Recorded,1.5,N/A,1.5,N/A,100,0.2,Yes,Yes,0.4,0,0.2,66.70%,66.70%,66.70%,100.00%,100.00%,100.00%,No,100,100,100,100
Irving,6th Avenue,11th Avenue,16,5,CSA,Not Recorded,Commercial,No,2006-2007,Q3,2007-09-Mar,3/29/2007 0:00,7:15 AM,8:30 AM,Not Recorded,Not Recorded,1.27,N/A,1.47,N/A,100,0,Yes,No,0,0,0.2,100.00%,100.00%,80.00%,100.00%,100.00%,100.00%,Yes,60,93.3,73.3,93.3
Pine,Octavia,Steiner,,5,CSA,Not Recorded,Residential,No,2006-2007,Q3,2007-09-Mar,3/20/2007 0:00,7:15 AM,8:30 AM,Not Recorded,Not Recorded,1.13,N/A,1.27,N/A,97.3,0,Yes,No,4.8,2.8,3,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,90,92,68,92
Franklin,O'Farrell,McAllister,,6,CSA,West,Residential,No,2006-2007,Q3,2007-09-Mar,3/20/2007 0:00,11:30 AM,1:45 PM,Not Recorded,Not Recorded,2,N/A,2.5,N/A,100,0.6,Yes,No,0,16,9.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.5,95,47.5,92.5
Mission,1st Street,4th Street,,6,CSA,South,Commercial,No,2006-2007,Q3,2007-09-Mar,3/20/2007 0:00,8:30 AM,11:10 AM,Not Recorded,Not Recorded,1.5,N/A,2.56,N/A,100,2,Yes,No,3,16,14.5,100.00%,80.00%,100.00%,100.00%,40.00%,0.00%,No,50,100,100,100
Arballo,Vidal,Vidal,,7,CSA,West,Residential,No,2006-2007,Q3,2007-09-Mar,3/22/2007 0:00,5:15 PM,6:05 PM,Not Recorded,Not Recorded,1.75,N/A,1.1,N/A,100,0.65,Yes,Yes,0,3.8,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Ocean,Junipero Serra,19th Avenue,12,7,CSA,South,Commercial,No,2006-2007,Q3,2007-09-Mar,3/20/2007 0:00,4:30 PM,5:25 PM,Not Recorded,Not Recorded,2.33,N/A,2.17,N/A,99.9,0.22,Yes,Yes,1,21.67,5.33,100.00%,100.00%,66.70%,100.00%,100.00%,66.70%,No,38.5,92.3,46.2,76.9
24th Street,Church,Diamond,13,8,CSA,Not Recorded,Commercial,No,2006-2007,Q3,2007-09-Mar,3/22/2007 0:00,2:00 PM,3:00 PM,Not Recorded,Not Recorded,1.75,N/A,1.5,N/A,98.8,0,Yes,No,0.5,0,0.5,100.00%,100.00%,75.00%,100.00%,100.00%,62.50%,No,88.4,100,100,100
Dolores,18th Street,23rd Street,,8,CSA,Not Recorded,Residential,No,2006-2007,Q3,2007-09-Mar,3/22/2007 0:00,1:00 PM,2:00 PM,Not Recorded,Not Recorded,1.23,N/A,1.22,N/A,99.1,0.73,Yes,No,0.2,0,0.4,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,No,55.1,95.7,49.3,98.6
Eugenia,Mission,Bocana,22,9,CSA,South,Residential,No,2006-2007,Q3,2007-09-Mar,3/22/2007 0:00,3:00 PM,4:15 PM,Not Recorded,Not Recorded,1.9,N/A,1.8,N/A,95,0,No,No,0,0.2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,44.4,94.4,66.7,100
Valencia,23rd Street,Duncan,,9,CSA,West,Commercial,No,2006-2007,Q3,2007-09-Mar,3/22/2007 0:00,1:00 PM,2:30 PM,Not Recorded,Not Recorded,2.59,N/A,2.1,N/A,86.6,0.74,No,No,2.5,7.5,55.67,87.50%,75.00%,37.50%,100.00%,100.00%,100.00%,No,12.8,100,51.3,100
Kansas,17th Street,21st Street,9,10,CSA,North,Residential,No,2006-2007,Q3,2007-09-Mar,3/22/2007 0:00,1:20 PM,2:30 PM,Not Recorded,Not Recorded,1.93,N/A,2.07,N/A,98.6,0.4,No,Yes,10,6,4.2,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,56.3,85.4,41.7,97.9
Oakdale,Bayshore,Selby,,10,CSA,Not Recorded,Commercial,No,2006-2007,Q3,2007-09-Mar,3/22/2007 0:00,11:30 AM,12:30 PM,Not Recorded,Not Recorded,1.92,N/A,2.54,N/A,99,0,No,No,0,1.5,1.75,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Yes,37.5,93.8,43.8,93.8
