Site #,Site Id,Ward,Date,Start,Finish,Team,Fixed,Width 1,Width 2,Width 3,Street,St. Type,Lanes,Divided,Area,Grass Ht.(Inches),FastFood,ConvStore,MobileFood,"Bench or
Resting
Structure",Bus Stop,"Traffic
Light/
Stop sign",Litter Bin,"Large
Litter
Count","Small
Litter
Count",Catch Pt,LitterIndex,Cleanup,Details,Street,Coordinates,"Updated
Coordinates from
Previous Survey",Comments,2012_large,2012_small,2012_total
1,1,1,16-Sep-16,9:10 AM,9:24 AM,A,Var,11,14,14,Markbrook Lane,Minor,2,N,Res,<3,N,N,N,N,Y,Y,N,18,16,"Curb-Grass
Line",1,N,,Lane,"N:43.758572
W:79.58778",,"Start at corner of Markbrook &
Kipling",22,6,28
2,2,1,16-Sep-16,8:15 AM,8:25 AM,A,Var,16,17,17,Glenhollow Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,12.5,1,"Curb-Grass
Line",2,N,,Ave,"N:43.7305
W:79.60489",,,0,3,3
3,3,1,22-Sep-16,8:29 AM,8:37 AM,B,Var,16.5,16.5,17,Amoro Dr.,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,7,4,"Curb-Grass
Line",2,N,,Drive,"N:43.723555
W:79.57717",,"back of school yard just west of
site. Start at 22 going away from
school",0,6,6
4,4,2,16-Sep-16,1:27 PM,1:55 PM,C,Fixed,18,18,18,Iron St.,Minor,4,N,Ind,<3,N,N,N,Y,N,Y,N,86,24,"Curb-Grass
Line",4,N,,Street,"N: 43.70233
W:79.58192",*,,5,8,13
5,5,2,16-Sep-16,9:32 AM,9:50 AM,C,Var,2,2,2,Lockheed Blvd,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,2,4,Fence-Curb-Grass Line,1,N,,Blvd,N:43.699138 W:79.529015,,bound by curb and residential property- no sidewalk. 2 single household construction zones along audit site.,0,2,2
6,6,2,16-Sep-16,9:19 AM,9:26 AM,C,Var,8.5,11.5,11.5,Westona St.,Minor,2,N,Res,<3,N,N,N,N,N,Y,N,1,2,"Hedge-Curb-
Grass Line",1,N,,Street,"N:43.696943
W:79.527758",,"bound by curb and residential
property- no sidewalk",0,0,0
7,7,2,16-Sep-16,9:04 AM,9:12 AM,C,Var,7.5,9,9,Kingdom St.,Minor,2,N,Res,3 to 6,N,N,N,N,N,N,N,3,11,"Curb-Grass
Line",1,N,,Street,"N:43.695104
W:79.518302",,"bound by curb and residential
property- no sidewalk",3,1,4
8,8,4,16-Sep-16,1:00 PM,1:12 PM,C,Var,10,17,18,Martin Grove Rd.,Major,4,N,Res,3 to 6,N,N,N,N,Y,Y,Y,4,4,"Fence-Curb-
Grass-Tree
Line",2,N,3 divided city bins,Road,"N:43.687444
W:79.56979",,"bound by curb, 18ft of grass
between the curb and the
sidewalk",23,15,38
9,11,4,19-Sep-16,2:42 PM,2:50 PM,C,Var,10,8.5,5.5,Aylesbury Rd.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,1,1,Grass-Ditch,1,N,,Road,"N:43.66632
W:79.53811",,"bound by street and residential
property-no sidewalk",0,0,0
10,12,3,19-Sep-16,3:02 PM,3:18 PM,C,Var,10,10,10,Rathburn Rd.,Major,6,Y,Res-Com,<3,Y,Y,N,N,Y,Y,Y,5,12,"Fence-Curb-
Grass Line",1,N,2 divided city bins,Road,"N: 43.65268
W:79.57359",*,"bound by curb and residential
property. Construction on south
side, audited north side",17,11,28
11,13,4,19-Sep-16,2:20 PM,2:32 PM,C,Var,9,6,7,Finchley Rd.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,4,3,Grass-Ditch,1,N,,Road,"N:43.65917 W:
79.52646",*,"survey completed between
residents of 3 & 4 Finchley Rd,
directly in front of #4 Finchley",6,1,7
12,14,4,19-Sep-16,2:05 PM,2:11 PM,C,Var,4,4,2,Burnhamthorpe Pk Blvd,Minor,2,N,Res,<3,N,N,N,N,N,N,N,0,1,"Grass Line-
Ditch",1,N,,Blvd,"N: 43.65216
W:79.53876",*,"survey completed in front of 59
Burnhamthorpe Park Blvd",3,0,3
13,16,5,19-Sep-16,12:30 PM,12:43 PM,C,Fixed,18,18,18,Fieldway Rd.,Minor,2,N,Res-Com-Ind,3 to 6,N,N,N,N,N,Y,N,11,7,"Curb-Grass
Line",2,Y,,Road,"N: 4364039 W:
79.52981",*,"survey start point in front of
Humberview Body Shop",9,4,13
14,17,5,19-Sep-16,12:06 PM,12:20 PM,C,Var,5,5,3,Elderidge Ave.,Minor,2,N,Res,3 to 6,N,N,N,N,N,Y,N,3,1,"Fence-Grass
Line",1,N,,Ave,"N: 43.63636
W:79.50249",*,"First house along audit site
undergoing renovations",1,0,1
15,18,5,19-Sep-16,11:30 AM,11:40 AM,C,Fixed,18,18,18,Rosewood Ave.,Minor,2,N,Com-Res,"<3, over 6",N,N,N,N,N,Y,N,5,7,"Ditch-Curb-
Grass Line",1,N,,Ave,"N: 43.62567 W:
79.50966",*,,8,4,12
16,20,6,19-Sep-16,10:34 AM,10:43 AM,C,Var,11.5,14,14,Valermo Dr.,Minor,2,N,Res,over 6,N,N,N,N,N,Y,N,2,3,"Fence-Curb-
Grass Line",3,N,,Drive,"N:43.606189
W:79.5455",,,13,21,34
17,21,6,19-Sep-16,10:10 AM,10:30 AM,C,Fixed,18,18,18,Browns Line,Major,4,N,Com-Res-Ind,<3,N,N,N,N,Y,N,N,16.5,53,"Curb-Grass
Line",1,N,,Line,"N:43.595244
W:79.542174",,,16,22,38
18,23,5,19-Sep-16,11:18 AM,11:25 AM,C,Fixed,18,18,18,Canmotor Ave,Minor,2,N,Com-Ind,<3,N,N,N,N,N,N,N,9,5,Grass,2,N,,Ave,N:43.622274 W:79.510662,,"potholes in driveways are catch points. Commercial/warehouses on both sides, site used hydro poles as boundaries",10,1,11
19,24,11,16-Sep-16,2:19 PM,2:30 PM,C,Var,17,17,18,Oak St.,Minor,2,N,Res,<3,N,N,N,Y,Y,Y,Y,3,18,"Fence-Curb-
Grass Line",1,N,1 divided city bin,Street,"N:43.70900
W:79.52770",,"bound by curb & commercial
property",0,2,2
