siteid,muni_large_count,area_ft2_large
89,71,1966.666667
55,45,3433.333333
92,38,3600
97,36,2700
17,34,2300
107,30,2533.333333
52,29,2566.666667
76,28,1666.666667
31,25,2700
96,24,3500
103,24,2333.333333
1,23,2800
60,22,2866.666667
11,21,3600
15,20,2000
77,19,2000
82,19,2900
54,17,2100
44,16,1866.666667
58,15.5,3600
50,15,3600
75,15,2933.333333
102,15,3466.666667
49,14,2666.666667
9,13.5,3500
4,13,2533.333333
24,13,1600
26,13,3600
33,13,2966.666667
38,13,3600
6,12,1866.666667
39,12,2633.333333
62,12,3600
95,12,3466.666667
108,12,2466.666667
13,11,3200
51,11,1733.333333
61,11,3100
101,11,3200
41,10,3000
42,10,3600
59,10,3233.333333
66,10,3066.666667
70,10,2333.333333
85,10,3600
93,10,1800
100,10,3000
79,9,2900
81,9,1600
90,9,3300
98,9,3600
10,8,2900
23,8,2866.666667
80,8,3266.666667
106,8,3500
110,8,3600
7,7,1133.333333
34,7,2733.333333
36,7,1700
67,7,2600
83,7,3066.666667
19,6,3600
40,6,2666.666667
47,6,3400
48,6,3200
53,6,2200
72,6,3200
91,6,3400
32,5,3066.666667
35,5,2800
37,5,3400
43,5,3400
57,5,2833.333333
71,5,3600
84,5,3466.666667
14,4,2833.333333
16,4,1700
20,4,3300
22,4,2533.333333
30,4,3333.333333
45,4,2200
64,4,3100
68,4,3400
73,4,3533.333333
104,4,2466.666667
5,3,1866.666667
21,3,3266.666667
27,3,2333.333333
69,3,3600
8,2,1566.666667
12,2,3600
46,2,2200
56,2,3600
74,2,3600
78,2,2900
2,1,2866.666667
3,1,2800
28,1,3600
63,1,2833.333333
65,1,3600
86,1,3466.666667
87,1,3600
94,1,3066.666667
18,0,2700
25,0,3200
88,0,1466.666667
105,0,3600
109,0,2933.333333
