siteid,muni_small_count,area_ft2_small
75,43,54
107,35,54
110,31,54
97,27,54
19,25,54
55,25,54
15,24,54
60,24,54
106,21,54
54,20,54
31,18,54
34,18,54
18,17,54
17,16,54
24,16,54
48,16,54
33,15,54
83,14,54
100,14,54
104,13,54
56,12,54
62,12,54
96,12,54
13,11,54
80,11,54
108,11,54
41,10,54
44,10,54
22,9,54
30,9,54
64,9,54
26,8,54
38,8,54
52,8,54
58,8,54
95,8,54
109,8,54
6,7,54
10,7,54
61,7,54
70,7,54
40,6,54
59,6,54
101,6,54
102,6,54
105,6,54
7,5,54
32,5,54
36,5,54
57,5,54
67,5,54
68,5,54
78,5,54
82,5,54
85,5,54
89,5,54
103,5,54
11,4,54
14,4,54
42,4,54
43,4,54
53,4,54
72,4,54
92,4,54
93,4,54
4,3,54
5,3,54
21,3,54
50,3,54
77,3,54
87,3,54
90,3,54
98,3,54
8,2,54
25,2,54
27,2,54
37,2,54
45,2,54
46,2,54
65,2,54
69,2,54
76,2,54
12,1,54
16,1,54
47,1,54
51,1,54
66,1,54
71,1,54
79,1,54
81,1,54
1,0,54
2,0,54
3,0,54
9,0,54
20,0,54
23,0,54
28,0,54
35,0,54
39,0,54
49,0,54
63,0,54
73,0,54
74,0,54
84,0,54
86,0,54
88,0,54
