id,lat,long,mapid,name,area_m2
37,2006234.456,4014287.243,AR,Arbutus_Ridge,3703560.592
22,2004053.976,4013664.015,AR,Arbutus_Ridge,3703560.592
38,2007676.655,4018989.626,CBD,Downtown,4677998.355
18,2007340.807,4018680.917,CBD,Downtown,4677998.355
19,2007213.591,4018925.17,CBD,Downtown,4677998.355
75,2007055.844,4019449.297,CBD,Downtown,4677998.355
33,2006506.274,4018684.309,CBD,Downtown,4677998.355
110,2006429.945,4020083.678,CBD,Downtown,4677998.355
42,2006726.508,4016654.655,FAIR,Fairview,3638258.424
101,2006294.421,4016308.788,FAIR,Fairview,3638258.424
96,2005349.463,4021920.667,GW,Grandview_Woodland,4757978.983
97,2005025.488,4021737.477,GW,Grandview_Woodland,4757978.983
54,2005001.741,4021165.856,GW,Grandview_Woodland,4757978.983
92,2004966.202,4022682.556,GW,Grandview_Woodland,4757978.983
26,2005899.746,4023171.131,GW,Grandview_Woodland,4757978.983
53,2004397.602,4020992.365,GW,Grandview_Woodland,4757978.983
31,2004728.356,4023349.515,HS,Hastings_Sunrise,8338940.09
64,2004074.281,4023211.763,HS,Hastings_Sunrise,8338940.09
39,2003138.506,4024118.054,HS,Hastings_Sunrise,8338940.09
17,2003013.142,4022821.795,HS,Hastings_Sunrise,8338940.09
63,2003952.632,4022497.73,HS,Hastings_Sunrise,8338940.09
70,2003091.433,4021921.946,HS,Hastings_Sunrise,8338940.09
3,2001345.143,4013665.651,MARP,Marpole,6007639.521
65,2001242.09,4014578.409,MARP,Marpole,6007639.521
7,2004209.564,4018533.106,RP,Riley_Park,4935559.625
48,2003629.095,4018317.042,RP,Riley_Park,4935559.625
78,2003248.564,4018620.176,RP,Riley_Park,4935559.625
79,2003467.853,4017607.579,RP,Riley_Park,4935559.625
20,2002658.42,4017817.193,RP,Riley_Park,4935559.625
77,2001974.756,4017501.16,RP,Riley_Park,4935559.625
21,2001968.306,4017726.898,RP,Riley_Park,4935559.625
5,2003170.661,4015334.135,SHAU,Shaughnessy,4483905.683
45,2003339.145,4015729.991,SHAU,Shaughnessy,4483905.683
16,2005367.498,4015178.737,SHAU,Shaughnessy,4483905.683
69,2004920.934,4015566.414,SHAU,Shaughnessy,4483905.683
107,2006294.249,4020857.147,STR,Strathcona,4373270.969
24,2005724.324,4021218.438,STR,Strathcona,4373270.969
52,2005288.4,4020222.766,STR,Strathcona,4373270.969
1,2005076.374,4020187.146,STR,Strathcona,4373270.969
41,2005524.172,4019769.88,STR,Strathcona,4373270.969
104,2008321.212,4017663.195,WE,West_End,2257987.765
80,2008356.833,4018321.322,WE,West_End,2257987.765
105,2008085.44,4018536.74,WE,West_End,2257987.765
103,2007970.946,4017885.397,WE,West_End,2257987.765
100,2007771.642,4018176.296,WE,West_End,2257987.765
106,2007322.148,4018263.651,WE,West_End,2257987.765
109,2003187.293,4019729.518,KC,Kensington_Cedar_Cottage,7258247.222
82,2002803.538,4019407.035,KC,Kensington_Cedar_Cottage,7258247.222
76,2002442.357,4018765.293,KC,Kensington_Cedar_Cottage,7258247.222
83,2001155.649,4018907.186,KC,Kensington_Cedar_Cottage,7258247.222
93,2001584.552,4019097.451,KC,Kensington_Cedar_Cottage,7258247.222
81,2001781.266,4019116.8,KC,Kensington_Cedar_Cottage,7258247.222
23,2002226.293,4019610.199,KC,Kensington_Cedar_Cottage,7258247.222
34,2002258.541,4020022.978,KC,Kensington_Cedar_Cottage,7258247.222
61,2001287.867,4019903.659,KC,Kensington_Cedar_Cottage,7258247.222
4,2002294.014,4020880.783,KC,Kensington_Cedar_Cottage,7258247.222
44,2003414.462,4020615.97,KC,Kensington_Cedar_Cottage,7258247.222
40,2005692.944,4019281.373,MP,Mount_Pleasant,3723543.604
15,2004235.074,4019863.589,MP,Mount_Pleasant,3723543.604
36,2004776.173,4019523.668,MP,Mount_Pleasant,3723543.604
108,2004763.29,4019088.609,MP,Mount_Pleasant,3723543.604
35,2004596.544,4018291.243,MP,Mount_Pleasant,3723543.604
49,2003777.437,4019316.74,MP,Mount_Pleasant,3723543.604
14,2003690.366,4019803.689,MP,Mount_Pleasant,3723543.604
62,2000958.934,4020832.41,RC,Renfrew_Collingwood,8106850.404
12,2000723.522,4020780.813,RC,Renfrew_Collingwood,8106850.404
74,2000952.485,4022396.454,RC,Renfrew_Collingwood,8106850.404
11,2000510.683,4022538.346,RC,Renfrew_Collingwood,8106850.404
10,2000223.673,4022312.608,RC,Renfrew_Collingwood,8106850.404
55,1999943.112,4022222.313,RC,Renfrew_Collingwood,8106850.404
13,1999601.28,4022144.917,RC,Renfrew_Collingwood,8106850.404
56,2000426.837,4021412.88,RC,Renfrew_Collingwood,8106850.404
57,1999256.223,4017610.804,SUN,Sunset,6580961.525
29,2000662.25,4018088.079,SUN,Sunset,6580961.525
89,2001097.602,4017065.807,SUN,Sunset,6580961.525
59,2000323.642,4016991.636,SUN,Sunset,6580961.525
90,2000146.277,4016343.445,SUN,Sunset,6580961.525
